08:24:00.717 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/getReplyInfo]}" onto public src.main.utweb.server.dto.ResultDto src.main.utweb.controller.SubjectContentController.getReplyInfo(java.lang.String) 
08:24:00.717 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/getSubjectInfo]}" onto public src.main.utweb.server.dto.ResultDto src.main.utweb.controller.SubjectContentController.getSubjectInfo(java.lang.String) 
08:24:00.734 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest) 
08:24:00.734 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
08:24:00.734 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
08:24:00.734 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
08:24:00.750 [restartedMain] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
08:24:01.614 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729 
08:24:01.689 [restartedMain] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup 
08:24:01.705 [restartedMain] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing 
08:24:01.705 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http) 
08:24:01.705 [restartedMain] INFO  src.main.utweb.UTApplication - Started UTApplication in 2.586 seconds (JVM running for 228498.963) 
08:24:08.543 [Thread-1500] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4bb6c792: startup date [Thu Sep 14 08:23:59 CST 2017]; root of context hierarchy 
08:24:08.546 [Thread-1500] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown 
08:24:09.335 [restartedMain] INFO  src.main.utweb.UTApplication - Starting UTApplication on 1107126-W10-JP with PID 2052 (C:\Users\wangxian.OVERSEAS\Desktop\unrestrained-travel\target\classes started by wangxian in C:\Users\wangxian.OVERSEAS\Desktop\unrestrained-travel) 
08:24:09.335 [restartedMain] INFO  src.main.utweb.UTApplication - No active profile set, falling back to default profiles: default 
08:24:09.337 [restartedMain] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@12fb0783: startup date [Thu Sep 14 08:24:09 CST 2017]; root of context hierarchy 
08:24:10.276 [restartedMain] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http) 
08:24:10.291 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service Tomcat 
08:24:10.291 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.14 
08:24:10.309 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat-6].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
08:24:10.309 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 972 ms 
08:24:10.356 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*] 
08:24:10.356 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
08:24:10.356 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*] 
08:24:10.356 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*] 
08:24:10.356 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'sessionFilter' to urls: [*.do] 
08:24:10.356 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/] 
08:24:10.575 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@12fb0783: startup date [Thu Sep 14 08:24:09 CST 2017]; root of context hierarchy 
08:24:10.575 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/activate]}" onto public java.lang.String src.main.utweb.controller.ActivateController.activate() 
08:24:10.575 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/getSession]}" onto public src.main.utweb.server.dto.CurrentSessionDto src.main.utweb.controller.CommonController.getSession(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
08:24:10.575 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/delSession]}" onto public java.lang.String src.main.utweb.controller.CommonController.delSession(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
08:24:10.575 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index]}" onto public java.lang.String src.main.utweb.controller.IndexController.login() 
08:24:10.575 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/content_list]}" onto public src.main.utweb.server.dto.ResultDto src.main.utweb.controller.IndexController.content_list(java.lang.String,java.lang.String) 
08:24:10.575 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login]}" onto public java.lang.String src.main.utweb.controller.LoginController.login() 
08:24:10.590 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/login/doSignIn]}" onto public src.main.utweb.server.dto.ResultDto src.main.utweb.controller.LoginController.doSignIn(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String,java.lang.String,java.lang.String) throws java.io.IOException 
